price,location,name
65000,亦庄开发区-地铁亦庄线经海路站西南角300米东侧,通泰国际公馆
30000,房山-城关街道兴东大街133号,中国铁建原香漫谷
20000,密云-北京市密云水库南2公里,万科云溪
59700,昌平-北七家京承高速北七家出口向西3公里,翡翠公园
52500,房山-长阳镇京良路南侧(京港澳高速19B出口，长阳环岛东行约3公里),中粮万科长阳半岛
180000,朝阳-东三环京广桥东北角（CCTV正北50米）,首创天禧
55000,通州-嘉创二路与兴光二街路口西南角,润枫领尚
6200,朝阳-东四环北路七号,东山condo
1920,朝阳-北五环红军营东路轻轨13号线北苑站北200米,天润福熙大道
910,房山-阎村镇紫码路西行1500米,天恒乐墅
price,location,name
65000,亦庄开发区-地铁亦庄线经海路站西南角300米东侧,通泰国际公馆
30000,房山-城关街道兴东大街133号,中国铁建原香漫谷
20000,密云-北京市密云水库南2公里,万科云溪
59700,昌平-北七家京承高速北七家出口向西3公里,翡翠公园
52500,房山-长阳镇京良路南侧(京港澳高速19B出口，长阳环岛东行约3公里),中粮万科长阳半岛
180000,朝阳-东三环京广桥东北角（CCTV正北50米）,首创天禧
55000,通州-嘉创二路与兴光二街路口西南角,润枫领尚
6200,朝阳-东四环北路七号,东山condo
1920,朝阳-北五环红军营东路轻轨13号线北苑站北200米,天润福熙大道
910,房山-阎村镇紫码路西行1500米,天恒乐墅
price,location,name
65000,亦庄开发区-地铁亦庄线经海路站西南角300米东侧,通泰国际公馆
30000,房山-城关街道兴东大街133号,中国铁建原香漫谷
20000,密云-北京市密云水库南2公里,万科云溪
59700,昌平-北七家京承高速北七家出口向西3公里,翡翠公园
52500,房山-长阳镇京良路南侧(京港澳高速19B出口，长阳环岛东行约3公里),中粮万科长阳半岛
180000,朝阳-东三环京广桥东北角（CCTV正北50米）,首创天禧
55000,通州-嘉创二路与兴光二街路口西南角,润枫领尚
6200,朝阳-东四环北路七号,东山condo
1920,朝阳-北五环红军营东路轻轨13号线北苑站北200米,天润福熙大道
910,房山-阎村镇紫码路西行1500米,天恒乐墅
price,location,name
65000,亦庄开发区-地铁亦庄线经海路站西南角300米东侧,通泰国际公馆
30000,房山-城关街道兴东大街133号,中国铁建原香漫谷
20000,密云-北京市密云水库南2公里,万科云溪
59700,昌平-北七家京承高速北七家出口向西3公里,翡翠公园
